sents
Physiology - Static - Positive
Living Space - Static - Positive
Mobility - Static - Positive
Health - Static - Positive
Safety - Static - Positive
Security - Static - Positive
Intimacy - Static - Positive
Aesthetics - Static - Positive
Knowledge - Static - Positive
Innovation - Static - Positive
Community - Static - Positive
Society - Static - Positive
Recreation - Static - Positive
Relaxation - Static - Positive
Creativity - Static - Positive
Productivity - Static - Positive
Belonging - Static - Positive
Recognition - Static - Positive
Autonomy - Static - Positive
Liberty - Static - Positive
Physiology - Trend - Positive
Living Space - Trend - Positive
Mobility - Trend - Positive
Health - Trend - Positive
Safety - Trend - Positive
Security - Trend - Positive
Intimacy - Trend - Positive
Aesthetics - Trend - Positive
Knowledge - Trend - Positive
Innovation - Trend - Positive
Community - Trend - Positive
Society - Trend - Positive
Recreation - Trend - Positive
Relaxation - Trend - Positive
Creativity - Trend - Positive
Productivity - Trend - Positive
Belonging - Trend - Positive
Recognition - Trend - Positive
Autonomy - Trend - Positive
Liberty - Trend - Positive
Physiology - Static - Negative
Living Space - Static - Negative
Mobility - Static - Negative
Health - Static - Negative
Safety - Static - Negative
Security - Static - Negative
Intimacy - Static - Negative
Aesthetics - Static - Negative
Knowledge - Static - Negative
Innovation - Static - Negative
Community - Static - Negative
Society - Static - Negative
Recreation - Static - Negative
Relaxation - Static - Negative
Creativity - Static - Negative
Productivity - Static - Negative
Belonging - Static - Negative
Recognition - Static - Negative
Autonomy - Static - Negative
Liberty - Static - Negative
Physiology - Trend - Negative
Living Space - Trend - Negative
Mobility - Trend - Negative
Health - Trend - Negative
Safety - Trend - Negative
Security - Trend - Negative
Intimacy - Trend - Negative
Aesthetics - Trend - Negative
Knowledge - Trend - Negative
Innovation - Trend - Negative
Community - Trend - Negative
Society - Trend - Negative
Recreation - Trend - Negative
Relaxation - Trend - Negative
Creativity - Trend - Negative
Productivity - Trend - Negative
Belonging - Trend - Negative
Recognition - Trend - Negative
Autonomy - Trend - Negative
Liberty - Trend - Negative
Physiology - Neutral
Living Space - Neutral
Mobility - Neutral
Health - Neutral
Safety - Neutral
Security - Neutral
Intimacy - Neutral
Aesthetics - Neutral
Knowledge - Neutral
Innovation - Neutral
Community - Neutral
Society - Neutral
Recreation - Neutral
Relaxation - Neutral
Creativity - Neutral
Productivity - Neutral
Belonging - Neutral
Recognition - Neutral
Autonomy - Neutral
Liberty - Neutral
